ra,dec,mjd,flux,fluxerr,filter,zp,mag,magerr,zpsys,exp,image
263.9347385863312,4.832466006067076,59843.52557263,9.75303593302726,0.25552440810712207,UVF475W,25.68418758092013,23.211338020204632,0.02845262840308239,ab,iebc16u3q_flc.fits,image_1
263.93471158226055,4.832401050395346,59843.52557263,4.180227175104389,0.17119397106692036,UVF475W,25.68418758092013,24.131187870374085,0.04447525093514392,ab,iebc16u3q_flc.fits,image_2
263.9347702361574,4.832389056927337,59843.52557263,9.376804701953944,0.2473580288438098,UVF475W,25.68418758092013,23.254050404141783,0.02864843919255352,ab,iebc16u3q_flc.fits,image_3
263.93480124294103,4.83243543102692,59843.52557263,4.506671216992241,0.16432917352827367,UVF475W,25.68418758092013,24.049547892451386,0.039599401389394155,ab,iebc16u3q_flc.fits,image_4
263.93473378899364,4.8324692889529715,59843.54365152,66.22488758096293,0.6339670379074406,UVF814W,25.11390978347128,20.5613567091213,0.01039621550622902,ab,iebc16ubq_flc.fits,image_1
263.9347047027323,4.832403399175066,59843.54365152,29.1976171523016,0.4418826675410048,UVF814W,25.11390978347128,21.450541259288023,0.01643574454882195,ab,iebc16ubq_flc.fits,image_2
263.93476519662653,4.83239045542527,59843.54365152,58.178981312272974,0.6693973230338928,UVF814W,25.11390978347128,20.70199450177858,0.012495328663677594,ab,iebc16ubq_flc.fits,image_3
263.93479496902563,4.832436462581189,59843.54365152,30.816769718412793,0.4363841373263999,UVF814W,25.11390978347128,21.391942000808022,0.015378418227050926,ab,iebc16ubq_flc.fits,image_4
263.93474172386055,4.8324689133774354,59843.52802634,34.26325280923619,0.5102233010362303,UVF625W,25.50274210670953,21.66567063001007,0.01617191771050935,ab,iebc16u4q_flc.fits,image_1
263.9347139688065,4.832403429112253,59843.52802634,16.17949526597968,0.33309418121802364,UVF625W,25.50274210670953,22.48032968351564,0.022357945959130023,ab,iebc16u4q_flc.fits,image_2
263.934773640075,4.832390351621227,59843.52802634,32.718452561172484,0.47060453212079434,UVF625W,25.50274210670953,21.715760218541696,0.01562043684454947,ab,iebc16u4q_flc.fits,image_3
263.9348029722143,4.832436803311286,59843.52802634,17.073568603775385,0.38946166458791354,UVF625W,25.50274210670953,22.421931346841646,0.024772522813358906,ab,iebc16u4q_flc.fits,image_4
263.9348029722143,4.832436803311286,59843.52802634,45.456,5.,F160W,24.663,20.519,0.01,vega,iebc16u4q_flc.fits,image_1
263.9348029722143,4.832436803311286,59843.52802634,39.228,5.,F160W,24.663,20.679,0.012,vega,iebc16u4q_flc.fits,image_3
263.9348029722143,4.832436803311286,59843.52802634,27.34,5.,F160W,24.663,21.071,0.016,vega,iebc16u4q_flc.fits,image_2
263.9348029722143,4.832436803311286,59843.52802634,17.17,5.,F160W,24.663,21.576,0.022,vega,iebc16u4q_flc.fits,image_4


